matchNumber,matchKey,blue1,blue2,blue3,red1,red2,red3,blueScore,redScore,post_result_time,predicted_time,blueAdjustPoints,blueAutoOwnership,blueAutoPts,blueAutoRanking,blueAutoBot1,blueAutoBot2,blueAutoBot3,blueAutoRunPoints,blueAutoScaleOwnershipSec,blueAutoSwitchAtZero,blueAutoSwitchOwnershipSpec,blueEndGamePoints,blueEndGameBot1,blueEndGameBot2,blueEndGameBot3,blueEndGameRP,blueFoulCount,blueFoulPts,blueRP,tbaGameData,blueTechFoulCount,blueTOownership,blueTOpts,blueScaleBoost,blueScaleForce,blueTOscaleOwnershipSec,blueTOswitchBoost,blueTOswitchForce,blueTOswitchOwnershipSec,blueBoostPlayed,blueBoostTotal,blueForcePlayed,blueForceTotal,blueLevitatePlayed,blueLevitateTotal,blueVaultPts,redAdjustPoints,redAutoOwnership,redAutoPts,redAutoRanking,redAutoBot1,redAutoBot2,redAutoBot3,redAutoRunPoints,redAutoScaleOwnershipSec,redAutoSwitchAtZero,redAutoSwitchOwnershipSpec,redEndGamePoints,redEndGameBot1,redEndGameBot2,redEndGameBot3,redEndGameRP,redFoulCount,redFoulPts,redRP,tbaGameData,redTechFoulCount,redTOownership,redTOpts,redScaleBoost,redScaleForce,redTOscaleOwnershipSec,redTOswitchBoost,redTOswitchForce,redTOswitchOwnershipSec,redBoostPlayed,redBoostTotal,redForcePlayed,redForceTotal,redLevitatePlayed,redLevitateTotal,redVaultPts
1,2018cthar_qm1,6346,5142,177,3464,5129,2067,215,365,1523113669,1523113441,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,40,Parking,Parking,Levitate,False,0,0,1,LLL,0,115,180,0,0,1,0,0,114,2,2,0,0,3,3,25,0,22,37,True,AutoRun,AutoRun,AutoRun,15,7,True,4,60,Levitate,None,Climbing,False,0,0,3,LLL,0,248,328,0,0,129,0,0,119,0,1,0,0,3,3,20
10,2018cthar_qm10,195,236,176,4987,7153,6333,454,30,1523118194,1523118001,0,42,57,True,AutoRun,AutoRun,AutoRun,15,10,True,11,35,Parking,Levitate,None,False,1,25,3,LRL,0,292,372,10,10,136,10,10,136,3,3,3,3,3,3,45,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,10,Parking,Parking,None,False,0,5,0,LRL,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018cthar_qm11,155,1085,190,5142,839,2785,394,260,1523118760,1523118601,0,36,51,True,AutoRun,AutoRun,AutoRun,15,7,True,11,35,None,Parking,Levitate,False,3,30,3,RRR,0,263,313,0,0,127,0,0,136,0,0,0,0,3,3,15,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,60,None,Climbing,Levitate,False,1,15,0,RRR,1,135,230,0,10,11,10,10,114,1,1,3,3,3,3,35
12,2018cthar_qm12,571,6895,3634,175,1991,5686,50,430,1523119086,1523118962,0,0,10,False,AutoRun,AutoRun,None,10,0,False,0,35,Climbing,Parking,None,False,4,0,0,LLL,0,0,40,0,0,0,0,0,0,0,0,0,0,0,1,5,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,65,Climbing,Parking,Levitate,False,0,20,3,LLL,0,267,377,10,10,121,0,10,136,2,3,3,3,3,3,45
13,2018cthar_qm13,7127,173,3654,6346,6812,1973,395,213,1523119527,1523119327,0,12,27,True,AutoRun,AutoRun,AutoRun,15,0,True,6,40,Levitate,Parking,Parking,False,0,0,3,LRL,0,283,368,10,10,127,10,10,136,3,3,3,3,3,3,45,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,40,Parking,Parking,Levitate,False,0,0,0,LRL,0,133,198,0,0,1,0,0,132,0,0,2,2,3,3,25
14,2018cthar_qm14,2170,230,177,558,2836,6811,484,171,1523120014,1523119802,0,26,41,True,AutoRun,AutoRun,AutoRun,15,2,True,11,90,Levitate,Climbing,Climbing,True,2,30,4,LRL,0,283,413,10,10,127,10,0,136,3,3,2,2,3,3,40,0,6,11,False,None,AutoRun,None,5,3,False,0,65,Parking,Climbing,Levitate,False,1,10,0,LRL,1,40,150,0,10,11,0,10,29,3,3,3,3,3,3,45
15,2018cthar_qm15,2067,236,5746,5686,3634,176,232,419,1523120456,1523120181,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,40,Parking,Parking,Levitate,False,1,0,1,RRR,0,132,197,0,0,0,0,10,132,0,0,1,2,3,3,25,0,24,39,True,AutoRun,AutoRun,AutoRun,15,1,True,11,65,Levitate,Parking,Climbing,False,0,5,3,RRR,0,270,375,10,10,126,10,0,124,3,3,2,2,3,3,40
16,2018cthar_qm16,571,7153,999,3654,5142,2064,344,155,1523120851,1523120642,0,14,24,False,AutoRun,AutoRun,None,10,7,False,0,60,Climbing,Levitate,None,False,1,0,2,RRR,1,225,320,5,0,82,10,0,128,3,3,0,1,3,3,35,0,0,10,False,AutoRun,AutoRun,None,10,0,False,0,35,Levitate,Parking,None,False,0,30,0,RRR,0,45,115,0,10,15,0,10,30,0,1,3,3,3,3,35
17,2018cthar_qm17,177,558,839,155,3182,4987,513,284,1523121300,1523121122,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,90,Climbing,Levitate,Climbing,True,1,80,4,RLR,0,263,398,10,10,110,10,10,133,3,3,3,3,3,3,45,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,40,Parking,Levitate,Parking,False,1,5,1,RLR,3,157,242,0,10,11,10,10,136,3,3,3,3,3,3,45
18,2018cthar_qm18,3146,3464,6895,2785,195,1085,282,421,1523124670,1523124426,0,16,31,True,AutoRun,AutoRun,AutoRun,15,0,True,8,65,Climbing,Parking,Levitate,False,1,15,1,RRR,0,146,236,0,10,11,0,0,135,0,0,2,2,3,3,25,0,8,23,True,AutoRun,AutoRun,AutoRun,15,0,True,4,90,Climbing,Climbing,Levitate,True,3,5,4,RRR,0,268,393,10,0,112,10,0,136,3,3,0,1,3,3,35
